,id,nome,siglaPartido,siglaUf,despesas
399,220650,Paulo Alexandre Barbosa,PSDB,SP,9818.670000000002
307,74478,Luciano Bivar,UNIÃO,PE,9712.420000000002
512,220552,Zucco,REPUBLICANOS,RS,9711.81
450,160629,Romero Rodrigues,PODE,PB,9654.73
349,204540,Maria Rosas,REPUBLICANOS,SP,9568.619999999999
230,204456,Gutemberg Reis,MDB,RJ,9532.800000000001
103,178963,Covatti Filho,PP,RS,9503.85
141,73768,Dilceu Sperafico,PP,PR,9468.2
299,139285,Lídice da Mata,PSB,BA,9438.980000000001
359,220550,Mauricio Marcon,PODE,RS,9429.659999999998
249,220697,Jadyel Alencar,PV,PI,9429.41
136,220553,Denise Pessôa,PT,RS,9380.13
283,204520,Junio Amaral,PL,MG,8935.32
387,204573,Otto Alencar Filho,PSD,BA,8924.08
17,204501,Alencar Santana,PT,SP,8918.04
143,160599,Dimas Fabiano,PP,MG,8893.29
199,191923,Flávio Nogueira,PT,PI,8595.380000000001
317,74041,Luiz Couto,PT,PB,8357.32
467,178933,Sergio Souza,MDB,PR,8356.68
126,220561,Delegada Katarina,PSD,SE,8266.41
494,141555,Vinicius Carvalho,REPUBLICANOS,SP,8266.109999999999
474,104552,Socorro Neri,PP,AC,8245.18
28,178881,Aluisio Mendes,REPUBLICANOS,MA,8195.78
383,178987,Orlando Silva,PCdoB,SP,8193.32
400,178860,Paulo Azi,UNIÃO,BA,8082.599999999999
311,222429,Luis Carlos Gomes,REPUBLICANOS,RJ,8077.85
248,220527,Jack Rocha,PT,ES,8004.63
411,160604,Pedro Uczai,PT,SC,7983.360000000001
166,74075,Elcione Barbalho,MDB,PA,7961.890000000001
282,204457,Juninho do Pneu,UNIÃO,RJ,7898.290000000001
424,220626,Rafael Simoes,UNIÃO,MG,7853.58
228,220568,Gustavo Gayer,PL,GO,7812.279999999999
444,141531,Rodrigo de Castro,UNIÃO,MG,7805.24
386,204441,Otoni de Paula,MDB,RJ,7781.680000000001
22,220554,Alexandre Lindenmeyer,PT,RS,7753.55
334,178983,Marcio Alvino,PL,SP,7744.52
459,204535,Sâmia Bomfim,PSOL,SP,7722.320000000001
77,178962,Carlos Gomes,REPUBLICANOS,RS,7708.42
214,204491,Gilberto Abramo,REPUBLICANOS,MG,7689.9
106,141411,Dagoberto Nogueira,PSDB,MS,7672.49
221,226179,Gisela Simona,UNIÃO,MT,7672.120000000001
269,74554,José Rocha,UNIÃO,BA,7659.970000000001
98,204378,Coronel Chrisóstomo,PL,RO,7636.650000000001
442,220624,Robinson Faria,PL,RN,7624.349999999999
335,179001,Márcio Biolchi,MDB,RS,7622.59
258,178910,Joaquim Passarinho,PL,PA,7473.620000000001
435,220543,Ricardo Ayres,REPUBLICANOS,TO,7422.97
92,220665,Clarissa Tércio,PP,PE,7373.46
337,220687,Márcio Honaiser,PDT,MA,7352.579999999999
499,220601,Washington Quaquá,PT,RJ,7266.61
219,220531,Gilvan Maximo,REPUBLICANOS,DF,7232.280000000001
167,204364,Eli Borges,PL,TO,7209.140000000001
179,178871,Evair Vieira de Melo,PP,ES,7114.389999999999
398,141516,Paulo Abi-Ackel,PSDB,MG,7084.789999999999
246,220696,Ivoneide Caetano,PT,BA,7060.76
343,204506,Marcos Pereira,REPUBLICANOS,SP,6931.799999999999
259,160548,Jonas Donizette,PSB,SP,6864.86
190,204407,Fernanda Melchionna,PSOL,RS,6863.09
426,74084,Raimundo Santos,PSD,PA,6772.86
205,220708,Gabriel Nunes,PSD,BA,6755.26
365,188097,Merlong Solano,PT,PI,6745.930000000001
